#
# FRENCH MAIN WALL
# OM-ID	    HV-ch      HV-pin   OM   HV
#
M:00.00.00  H:0.00.23  A:12.03  014  1260
M:00.00.01  H:0.00.22  A:12.18  231  1530
M:00.00.02  H:0.00.06  A:12.34  154  1460
M:00.00.03  H:0.02.23  A:14.03  176  1520
M:00.00.04  H:0.02.22  A:14.18  139  1340
M:00.00.05  H:0.02.06  A:14.34  163  1480
M:00.00.06  H:0.04.23  A:16.03  270  1580
M:00.00.07  H:0.04.22  A:16.18  271  1510
M:00.00.08  H:0.04.06  A:16.34  276  1280
M:00.00.09  H:0.06.23  A:18.03  272  1440
M:00.00.10  H:0.06.22  A:18.18  315  1390
M:00.00.11  H:0.06.06  A:18.34  217  1590
M:00.00.12  H:0.08.23  A:20.03  047  1260
#
M:00.01.00  H:0.00.24  A:12.04  003  1180
M:00.01.01  H:0.00.29  A:12.19  101  1550
M:00.01.02  H:0.00.07  A:12.35  156  1430
M:00.01.03  H:0.02.24  A:14.04  173  1345
M:00.01.04  H:0.02.29  A:14.19  091  1430
M:00.01.05  H:0.02.07  A:14.35  161  1430
M:00.01.06  H:0.04.24  A:16.04  269  1510
M:00.01.07  H:0.04.29  A:16.19  224  1420
M:00.01.08  H:0.04.07  A:16.35  284  1490
M:00.01.09  H:0.06.24  A:18.04  246  1470
M:00.01.10  H:0.06.29  A:18.19  309  1380
M:00.01.11  H:0.06.07  A:18.35  252  1570
M:00.01.12  H:0.08.24  A:20.04  050  1300
#
M:00.02.00  H:0.00.25  A:12.05  005  1250
M:00.02.01  H:0.00.30  A:12.20  221  1420
M:00.02.02  H:0.00.08  A:12.36  155  1470
M:00.02.03  H:0.02.25  A:14.05  175  1440
M:00.02.04  H:0.02.30  A:14.20  087  1500
M:00.02.05  H:0.02.08  A:14.36  148  1600
M:00.02.06  H:0.04.25  A:16.05  268  1470
M:00.02.07  H:0.04.30  A:16.20  258  1440
M:00.02.08  H:0.04.08  A:16.36  277  1300
M:00.02.09  H:0.06.25  A:18.05  273  1470
M:00.02.10  H:0.06.30  A:18.20  312  1420
M:00.02.11  H:0.06.08  A:18.36  129  1470
M:00.02.12  H:0.08.25  A:20.05  044  1330
#
M:00.03.00  H:0.00.26  A:12.06  064  1320
M:00.03.01  H:0.00.12  A:12.24  202  1440
M:00.03.02  H:0.00.09  A:12.37  153  1470
M:00.03.03  H:0.02.26  A:14.06  171  1530
M:00.03.04  H:0.02.12  A:14.24  151  1510
M:00.03.05  H:0.02.09  A:14.37  133  1580
M:00.03.06  H:0.04.26  A:16.06  275  1480
